word,l0,l1,l2,l3,l4,letters,entropy
aahed,a,a,h,e,d,"{'d', 'a', 'e', 'h'}",0.0
aalii,a,a,l,i,i,"{'a', 'l', 'i'}",0.0
aapas,a,a,p,a,s,"{'s', 'a', 'p'}",0.0
aargh,a,a,r,g,h,"{'r', 'a', 'g', 'h'}",0.0
aarti,a,a,r,t,i,"{'r', 'a', 't', 'i'}",0.0
abaca,a,b,a,c,a,"{'a', 'b', 'c'}",0.0
abaci,a,b,a,c,i,"{'a', 'i', 'b', 'c'}",0.0
aback,a,b,a,c,k,"{'k', 'a', 'b', 'c'}",0.0
abacs,a,b,a,c,s,"{'s', 'a', 'b', 'c'}",0.0
abaft,a,b,a,f,t,"{'f', 'a', 'b', 't'}",0.0
abaht,a,b,a,h,t,"{'a', 'b', 'h', 't'}",0.0
abaka,a,b,a,k,a,"{'a', 'b', 'k'}",0.0
abamp,a,b,a,m,p,"{'a', 'm', 'b', 'p'}",0.0
aband,a,b,a,n,d,"{'d', 'a', 'b', 'n'}",0.0
abase,a,b,a,s,e,"{'s', 'a', 'b', 'e'}",0.0
abash,a,b,a,s,h,"{'s', 'a', 'b', 'h'}",0.0
abask,a,b,a,s,k,"{'s', 'a', 'b', 'k'}",0.0
abate,a,b,a,t,e,"{'a', 'b', 'e', 't'}",0.0
abaya,a,b,a,y,a,"{'a', 'b', 'y'}",0.0
abbas,a,b,b,a,s,"{'s', 'a', 'b'}",0.0
abbed,a,b,b,e,d,"{'d', 'a', 'b', 'e'}",0.0
abbes,a,b,b,e,s,"{'s', 'a', 'b', 'e'}",0.0
abbey,a,b,b,e,y,"{'a', 'b', 'e', 'y'}",0.0
abbot,a,b,b,o,t,"{'a', 't', 'b', 'o'}",0.0
abcee,a,b,c,e,e,"{'a', 'b', 'e', 'c'}",0.0
abeam,a,b,e,a,m,"{'a', 'm', 'b', 'e'}",0.0
abear,a,b,e,a,r,"{'r', 'a', 'b', 'e'}",0.0
abeat,a,b,e,a,t,"{'a', 'b', 'e', 't'}",0.0
abeer,a,b,e,e,r,"{'r', 'a', 'b', 'e'}",0.0
abele,a,b,e,l,e,"{'a', 'l', 'b', 'e'}",0.0
abeng,a,b,e,n,g,"{'g', 'a', 'b', 'n', 'e'}",0.0
abers,a,b,e,r,s,"{'s', 'r', 'a', 'b', 'e'}",0.0
abets,a,b,e,t,s,"{'s', 't', 'a', 'b', 'e'}",0.0
abeys,a,b,e,y,s,"{'s', 'a', 'b', 'e', 'y'}",0.0
abhor,a,b,h,o,r,"{'r', 'h', 'a', 'b', 'o'}",0.0
abide,a,b,i,d,e,"{'d', 'a', 'b', 'i', 'e'}",0.0
abies,a,b,i,e,s,"{'s', 'a', 'b', 'i', 'e'}",0.0
