word,l0,l1,l2,l3,l4,letters,entropy
aahed,a,a,h,e,d,"{'a', 'h', 'e', 'd'}",0.0
aalii,a,a,l,i,i,"{'a', 'i', 'l'}",0.0
aapas,a,a,p,a,s,"{'p', 'a', 's'}",0.0
aargh,a,a,r,g,h,"{'g', 'r', 'a', 'h'}",0.0
aarti,a,a,r,t,i,"{'r', 'a', 'i', 't'}",0.0
abaca,a,b,a,c,a,"{'c', 'a', 'b'}",0.0
abaci,a,b,a,c,i,"{'c', 'a', 'b', 'i'}",0.0
aback,a,b,a,c,k,"{'c', 'a', 'b', 'k'}",0.0
abacs,a,b,a,c,s,"{'c', 'a', 'b', 's'}",0.0
abaft,a,b,a,f,t,"{'a', 'b', 'f', 't'}",0.0
abaht,a,b,a,h,t,"{'a', 'b', 'h', 't'}",0.0
abaka,a,b,a,k,a,"{'k', 'a', 'b'}",0.0
abamp,a,b,a,m,p,"{'m', 'p', 'a', 'b'}",0.0
aband,a,b,a,n,d,"{'a', 'b', 'd', 'n'}",0.0
abase,a,b,a,s,e,"{'a', 'b', 'e', 's'}",0.0
abash,a,b,a,s,h,"{'a', 'b', 'h', 's'}",0.0
abask,a,b,a,s,k,"{'k', 'a', 'b', 's'}",0.0
abate,a,b,a,t,e,"{'a', 'b', 'e', 't'}",0.0
abaya,a,b,a,y,a,"{'y', 'a', 'b'}",0.0
abbas,a,b,b,a,s,"{'a', 'b', 's'}",0.0
abbed,a,b,b,e,d,"{'a', 'b', 'e', 'd'}",0.0
abbes,a,b,b,e,s,"{'a', 'b', 'e', 's'}",0.0
abbey,a,b,b,e,y,"{'y', 'a', 'b', 'e'}",0.0
abbot,a,b,b,o,t,"{'a', 'b', 'o', 't'}",0.0
abcee,a,b,c,e,e,"{'c', 'a', 'b', 'e'}",0.0
abeam,a,b,e,a,m,"{'m', 'a', 'b', 'e'}",0.0
abear,a,b,e,a,r,"{'r', 'a', 'b', 'e'}",0.0
abeat,a,b,e,a,t,"{'a', 'b', 'e', 't'}",0.0
abeer,a,b,e,e,r,"{'r', 'a', 'b', 'e'}",0.0
abele,a,b,e,l,e,"{'l', 'a', 'b', 'e'}",0.0
abeng,a,b,e,n,g,"{'b', 'a', 'n', 'g', 'e'}",0.0
abers,a,b,e,r,s,"{'b', 'r', 'a', 's', 'e'}",0.0
abets,a,b,e,t,s,"{'b', 'a', 't', 's', 'e'}",0.0
abeys,a,b,e,y,s,"{'b', 'y', 'a', 's', 'e'}",0.0
abhor,a,b,h,o,r,"{'o', 'b', 'r', 'a', 'h'}",0.0
abide,a,b,i,d,e,"{'b', 'a', 'i', 'd', 'e'}",0.0
abies,a,b,i,e,s,"{'b', 'a', 'i', 's', 'e'}",0.0
abius,a,b,i,u,s,"{'b', 'a', 'i', 's', 'u'}",0.0
abjad,a,b,j,a,d,"{'a', 'b', 'j', 'd'}",0.0
abjud,a,b,j,u,d,"{'b', 'j', 'a', 'd', 'u'}",0.0
abled,a,b,l,e,d,"{'b', 'l', 'a', 'd', 'e'}",0.0
abler,a,b,l,e,r,"{'b', 'l', 'r', 'a', 'e'}",0.0
ables,a,b,l,e,s,"{'b', 'l', 'a', 's', 'e'}",0.0
ablet,a,b,l,e,t,"{'b', 'l', 'a', 't', 'e'}",0.0
ablow,a,b,l,o,w,"{'o', 'b', 'l', 'a', 'w'}",0.0
abmho,a,b,m,h,o,"{'o', 'b', 'a', 'h', 'm'}",0.0
abnet,a,b,n,e,t,"{'b', 't', 'a', 'n', 'e'}",0.0
abode,a,b,o,d,e,"{'o', 'b', 'a', 'd', 'e'}",0.0
abohm,a,b,o,h,m,"{'o', 'b', 'a', 'h', 'm'}",0.0
aboil,a,b,o,i,l,"{'o', 'b', 'l', 'a', 'i'}",0.0
aboma,a,b,o,m,a,"{'m', 'a', 'b', 'o'}",0.0
aboon,a,b,o,o,n,"{'a', 'b', 'o', 'n'}",0.0
abord,a,b,o,r,d,"{'o', 'b', 'r', 'a', 'd'}",0.0
abore,a,b,o,r,e,"{'o', 'b', 'r', 'a', 'e'}",0.0
aborn,a,b,o,r,n,"{'o', 'b', 'r', 'a', 'n'}",0.0
abort,a,b,o,r,t,"{'o', 'b', 'r', 'a', 't'}",0.0
about,a,b,o,u,t,"{'o', 'b', 'a', 't', 'u'}",0.0
above,a,b,o,v,e,"{'o', 'b', 'v', 'a', 'e'}",0.0
abram,a,b,r,a,m,"{'m', 'r', 'a', 'b'}",0.0
abray,a,b,r,a,y,"{'y', 'r', 'a', 'b'}",0.0
abrim,a,b,r,i,m,"{'b', 'r', 'a', 'i', 'm'}",0.0
abrin,a,b,r,i,n,"{'b', 'r', 'a', 'i', 'n'}",0.0
abris,a,b,r,i,s,"{'b', 'r', 'a', 'i', 's'}",0.0
absey,a,b,s,e,y,"{'b', 'y', 'a', 's', 'e'}",0.0
absit,a,b,s,i,t,"{'b', 'a', 't', 'i', 's'}",0.0
abuna,a,b,u,n,a,"{'u', 'a', 'b', 'n'}",0.0
abune,a,b,u,n,e,"{'b', 'a', 'n', 'u', 'e'}",0.0
abura,a,b,u,r,a,"{'u', 'r', 'a', 'b'}",0.0
aburn,a,b,u,r,n,"{'b', 'r', 'a', 'n', 'u'}",0.0
abuse,a,b,u,s,e,"{'b', 'a', 's', 'u', 'e'}",0.0
abuts,a,b,u,t,s,"{'b', 'a', 't', 's', 'u'}",0.0
abuzz,a,b,u,z,z,"{'u', 'a', 'b', 'z'}",0.0
abyes,a,b,y,e,s,"{'b', 'y', 'a', 's', 'e'}",0.0
abysm,a,b,y,s,m,"{'b', 'y', 'a', 's', 'm'}",0.0
