word,l0,l1,l2,l3,l4,letters,entropy
aahed,a,a,h,e,d,"{'a', 'd', 'e', 'h'}",0.0
aalii,a,a,l,i,i,"{'i', 'a', 'l'}",0.0
aapas,a,a,p,a,s,"{'a', 's', 'p'}",0.0
aargh,a,a,r,g,h,"{'r', 'a', 'h', 'g'}",0.0
aarti,a,a,r,t,i,"{'i', 'r', 'a', 't'}",0.0
abaca,a,b,a,c,a,"{'a', 'c', 'b'}",0.0
abaci,a,b,a,c,i,"{'i', 'a', 'c', 'b'}",0.0
aback,a,b,a,c,k,"{'a', 'k', 'c', 'b'}",0.0
abacs,a,b,a,c,s,"{'a', 'c', 'b', 's'}",0.0
abaft,a,b,a,f,t,"{'a', 'f', 'b', 't'}",0.0
abaht,a,b,a,h,t,"{'a', 'b', 'h', 't'}",0.0
abaka,a,b,a,k,a,"{'a', 'k', 'b'}",0.0
abamp,a,b,a,m,p,"{'a', 'p', 'b', 'm'}",0.0
aband,a,b,a,n,d,"{'a', 'd', 'b', 'n'}",0.0
abase,a,b,a,s,e,"{'a', 'e', 'b', 's'}",0.0
abash,a,b,a,s,h,"{'a', 'b', 's', 'h'}",0.0
abask,a,b,a,s,k,"{'a', 'k', 'b', 's'}",0.0
abate,a,b,a,t,e,"{'a', 'e', 'b', 't'}",0.0
abaya,a,b,a,y,a,"{'a', 'b', 'y'}",0.0
abbas,a,b,b,a,s,"{'a', 'b', 's'}",0.0
abbed,a,b,b,e,d,"{'a', 'd', 'e', 'b'}",0.0
abbes,a,b,b,e,s,"{'a', 'e', 'b', 's'}",0.0
abbey,a,b,b,e,y,"{'a', 'e', 'b', 'y'}",0.0
abbot,a,b,b,o,t,"{'a', 't', 'b', 'o'}",0.0
abcee,a,b,c,e,e,"{'e', 'a', 'c', 'b'}",0.0
abeam,a,b,e,a,m,"{'a', 'e', 'b', 'm'}",0.0
abear,a,b,e,a,r,"{'r', 'a', 'e', 'b'}",0.0
abeat,a,b,e,a,t,"{'a', 'e', 'b', 't'}",0.0
