word,l0,l1,l2,l3,l4,letters,entropy
aahed,a,a,h,e,d,"{'d', 'h', 'a', 'e'}",0.0
aalii,a,a,l,i,i,"{'a', 'l', 'i'}",0.0
aapas,a,a,p,a,s,"{'s', 'a', 'p'}",0.0
aargh,a,a,r,g,h,"{'h', 'r', 'a', 'g'}",0.0
aarti,a,a,r,t,i,"{'r', 'a', 't', 'i'}",0.0
abaca,a,b,a,c,a,"{'b', 'a', 'c'}",0.0
abaci,a,b,a,c,i,"{'b', 'a', 'c', 'i'}",0.0
aback,a,b,a,c,k,"{'b', 'a', 'c', 'k'}",0.0
abacs,a,b,a,c,s,"{'b', 'a', 'c', 's'}",0.0
abaft,a,b,a,f,t,"{'b', 'a', 't', 'f'}",0.0
abaht,a,b,a,h,t,"{'h', 'b', 'a', 't'}",0.0
abaka,a,b,a,k,a,"{'b', 'a', 'k'}",0.0
abamp,a,b,a,m,p,"{'b', 'a', 'p', 'm'}",0.0
aband,a,b,a,n,d,"{'d', 'b', 'a', 'n'}",0.0
abase,a,b,a,s,e,"{'e', 'b', 'a', 's'}",0.0
abash,a,b,a,s,h,"{'h', 'b', 'a', 's'}",0.0
abask,a,b,a,s,k,"{'b', 'a', 's', 'k'}",0.0
abate,a,b,a,t,e,"{'b', 'a', 't', 'e'}",0.0
abaya,a,b,a,y,a,"{'y', 'b', 'a'}",0.0
abbas,a,b,b,a,s,"{'b', 'a', 's'}",0.0
abbed,a,b,b,e,d,"{'d', 'b', 'a', 'e'}",0.0
abbes,a,b,b,e,s,"{'b', 'a', 's', 'e'}",0.0
abbey,a,b,b,e,y,"{'y', 'b', 'a', 'e'}",0.0
abbot,a,b,b,o,t,"{'b', 'a', 't', 'o'}",0.0
abcee,a,b,c,e,e,"{'b', 'a', 'c', 'e'}",0.0
abeam,a,b,e,a,m,"{'b', 'a', 'e', 'm'}",0.0
abear,a,b,e,a,r,"{'r', 'b', 'a', 'e'}",0.0
abeat,a,b,e,a,t,"{'b', 'a', 't', 'e'}",0.0
abeer,a,b,e,e,r,"{'r', 'b', 'a', 'e'}",0.0
abele,a,b,e,l,e,"{'b', 'a', 'l', 'e'}",0.0
abeng,a,b,e,n,g,"{'b', 'a', 'e', 'n', 'g'}",0.0
abers,a,b,e,r,s,"{'b', 'r', 'a', 's', 'e'}",0.0
abets,a,b,e,t,s,"{'b', 'a', 's', 't', 'e'}",0.0
abeys,a,b,e,y,s,"{'b', 'a', 's', 'e', 'y'}",0.0
abhor,a,b,h,o,r,"{'b', 'a', 'r', 'h', 'o'}",0.0
abide,a,b,i,d,e,"{'b', 'a', 'i', 'd', 'e'}",0.0
abies,a,b,i,e,s,"{'b', 'a', 's', 'i', 'e'}",0.0
abius,a,b,i,u,s,"{'b', 'a', 'i', 's', 'u'}",0.0
abjad,a,b,j,a,d,"{'d', 'b', 'a', 'j'}",0.0
abjud,a,b,j,u,d,"{'b', 'a', 'd', 'u', 'j'}",0.0
abled,a,b,l,e,d,"{'b', 'a', 'd', 'e', 'l'}",0.0
abler,a,b,l,e,r,"{'b', 'r', 'a', 'e', 'l'}",0.0
ables,a,b,l,e,s,"{'b', 'a', 's', 'e', 'l'}",0.0
ablet,a,b,l,e,t,"{'b', 'a', 't', 'e', 'l'}",0.0
ablow,a,b,l,o,w,"{'b', 'a', 'w', 'l', 'o'}",0.0
abmho,a,b,m,h,o,"{'b', 'a', 'm', 'h', 'o'}",0.0
abnet,a,b,n,e,t,"{'b', 'a', 't', 'e', 'n'}",0.0
abode,a,b,o,d,e,"{'b', 'a', 'd', 'e', 'o'}",0.0
abohm,a,b,o,h,m,"{'b', 'a', 'm', 'h', 'o'}",0.0
aboil,a,b,o,i,l,"{'b', 'a', 'i', 'l', 'o'}",0.0
aboma,a,b,o,m,a,"{'b', 'a', 'o', 'm'}",0.0
aboon,a,b,o,o,n,"{'b', 'a', 'n', 'o'}",0.0
abord,a,b,o,r,d,"{'b', 'r', 'a', 'd', 'o'}",0.0
abore,a,b,o,r,e,"{'b', 'r', 'a', 'e', 'o'}",0.0
aborn,a,b,o,r,n,"{'b', 'r', 'a', 'n', 'o'}",0.0
abort,a,b,o,r,t,"{'b', 'r', 'a', 't', 'o'}",0.0
about,a,b,o,u,t,"{'b', 'a', 't', 'u', 'o'}",0.0
above,a,b,o,v,e,"{'b', 'a', 'e', 'v', 'o'}",0.0
abram,a,b,r,a,m,"{'r', 'b', 'a', 'm'}",0.0
abray,a,b,r,a,y,"{'r', 'b', 'a', 'y'}",0.0
